test_type,num_operations,run,time_ms,batch_size
single_insertion,100,1,0,1
single_insertion,100,2,0,1
single_insertion,100,3,0,1
single_insertion,100,4,0,1
single_insertion,100,5,0,1
single_insertion,1000,1,116,1
single_insertion,1000,2,112,1
single_insertion,1000,3,116,1
single_insertion,1000,4,114,1
single_insertion,1000,5,106,1
single_insertion,10000,1,16111,1
single_insertion,10000,2,15948,1
single_insertion,10000,3,16036,1
single_insertion,10000,4,15959,1
single_insertion,10000,5,16042,1
single_insertion,100000,1,2.03131e+06,1
single_insertion,100000,2,2.03029e+06,1
single_insertion,100000,3,2.04203e+06,1
single_insertion,100000,4,2.02272e+06,1
single_insertion,100000,5,2.01340e+06,1
single_extraction,100,1,0,1
single_extraction,100,2,0,1
single_extraction,100,3,0,1
single_extraction,100,4,0,1
single_extraction,100,5,0,1
single_extraction,1000,1,0,1
single_extraction,1000,2,0,1
single_extraction,1000,3,0,1
single_extraction,1000,4,0,1
single_extraction,1000,5,0,1
single_extraction,10000,1,5,1
single_extraction,10000,2,5,1
single_extraction,10000,3,5,1
single_extraction,10000,4,5,1
single_extraction,10000,5,5,1
single_extraction,100000,1,745,1
single_extraction,100000,2,751,1
single_extraction,100000,3,750,1
single_extraction,100000,4,749,1
single_extraction,100000,5,748,1
batch_insertion,1000,1,1,64
batch_insertion,1000,2,1,64
batch_insertion,1000,3,1,64
batch_insertion,1000,4,1,64
batch_insertion,1000,5,1,64
batch_insertion,1000,1,0,128
batch_insertion,1000,2,0,128
batch_insertion,1000,3,0,128
batch_insertion,1000,4,0,128
batch_insertion,1000,5,0,128
batch_insertion,1000,1,0,256
batch_insertion,1000,2,0,256
batch_insertion,1000,3,0,256
batch_insertion,1000,4,0,256
batch_insertion,1000,5,0,256
batch_insertion,10000,1,254,64
batch_insertion,10000,2,228,64
batch_insertion,10000,3,252,64
batch_insertion,10000,4,251,64
batch_insertion,10000,5,254,64
batch_insertion,10000,1,132,128
batch_insertion,10000,2,109,128
batch_insertion,10000,3,119,128
batch_insertion,10000,4,121,128
batch_insertion,10000,5,131,128
batch_insertion,10000,1,56,256
batch_insertion,10000,2,60,256
batch_insertion,10000,3,52,256
batch_insertion,10000,4,55,256
batch_insertion,10000,5,64,256
batch_insertion,100000,1,34666,64
batch_insertion,100000,2,34268,64
batch_insertion,100000,3,34499,64
batch_insertion,100000,4,34295,64
batch_insertion,100000,5,34049,64
batch_insertion,100000,1,17433,128
batch_insertion,100000,2,17522,128
batch_insertion,100000,3,17449,128
batch_insertion,100000,4,17070,128
batch_insertion,100000,5,17665,128
batch_insertion,100000,1,8372,256
batch_insertion,100000,2,8650,256
batch_insertion,100000,3,9036,256
batch_insertion,100000,4,8653,256
batch_insertion,100000,5,8978,256
batch_deletion,1000,1,0,64
batch_deletion,1000,2,0,64
batch_deletion,1000,3,0,64
batch_deletion,1000,4,0,64
batch_deletion,1000,5,0,64
batch_deletion,1000,1,0,128
batch_deletion,1000,2,0,128
batch_deletion,1000,3,0,128
batch_deletion,1000,4,0,128
batch_deletion,1000,5,0,128
batch_deletion,1000,1,0,256
batch_deletion,1000,2,0,256
batch_deletion,1000,3,0,256
batch_deletion,1000,4,0,256
batch_deletion,1000,5,0,256
batch_deletion,10000,1,0,64
batch_deletion,10000,2,0,64
batch_deletion,10000,3,0,64
batch_deletion,10000,4,0,64
batch_deletion,10000,5,0,64
batch_deletion,10000,1,0,128
batch_deletion,10000,2,0,128
batch_deletion,10000,3,0,128
batch_deletion,10000,4,0,128
batch_deletion,10000,5,0,128
batch_deletion,10000,1,0,256
batch_deletion,10000,2,0,256
batch_deletion,10000,3,0,256
batch_deletion,10000,4,0,256
batch_deletion,10000,5,0,256
batch_deletion,100000,1,13,64
batch_deletion,100000,2,13,64
batch_deletion,100000,3,13,64
batch_deletion,100000,4,13,64
batch_deletion,100000,5,13,64
batch_deletion,100000,1,7,128
batch_deletion,100000,2,7,128
batch_deletion,100000,3,7,128
batch_deletion,100000,4,7,128
batch_deletion,100000,5,7,128
batch_deletion,100000,1,4,256
batch_deletion,100000,2,4,256
batch_deletion,100000,3,4,256
batch_deletion,100000,4,4,256
batch_deletion,100000,5,4,256
